16242
PING 10.0.0.8 (10.0.0.8) 56(84) bytes of data.
64 bytes from 10.0.0.8: icmp_seq=352 ttl=64 time=3679 ms
64 bytes from 10.0.0.8: icmp_seq=353 ttl=64 time=3658 ms
64 bytes from 10.0.0.8: icmp_seq=354 ttl=64 time=3633 ms
64 bytes from 10.0.0.8: icmp_seq=355 ttl=64 time=3857 ms
64 bytes from 10.0.0.8: icmp_seq=356 ttl=64 time=3831 ms
64 bytes from 10.0.0.8: icmp_seq=357 ttl=64 time=3811 ms
64 bytes from 10.0.0.8: icmp_seq=358 ttl=64 time=3787 ms
64 bytes from 10.0.0.8: icmp_seq=359 ttl=64 time=3768 ms
64 bytes from 10.0.0.8: icmp_seq=360 ttl=64 time=3745 ms
64 bytes from 10.0.0.8: icmp_seq=361 ttl=64 time=3724 ms
64 bytes from 10.0.0.8: icmp_seq=362 ttl=64 time=3699 ms
64 bytes from 10.0.0.8: icmp_seq=363 ttl=64 time=3921 ms
64 bytes from 10.0.0.8: icmp_seq=364 ttl=64 time=3897 ms
64 bytes from 10.0.0.8: icmp_seq=365 ttl=64 time=3876 ms
